| Parser Table       | -                             | addop                         | \L      | ;         | }         | class   | else    | +                             | {       | float                     | public                                         | num                           | relop                   | id                            | )         | (                             | if                                                 | int                       | private                                        | while                              | mulop              | assign  | $       | 
| CLASS_DECL         | {error}                       | {error}                       | {error} | {error}   | {error}   | {error} | {error} | {error}                       | {error} | {error}                   | MODIFIER class id { CLASS_BODY }               | {error}                       | {error}                 | {error}                       | {error}   | {error}                       | {error}                                            | {error}                   | MODIFIER class id { CLASS_BODY }               | {error}                            | {error}            | {error} | {sync}  | 
| CLASS_BODY         | {error}                       | {error}                       | \L      | {error}   | {sync}    | {error} | {error} | {error}                       | {error} | DECLARATION               | METHOD_LIST                                    | {error}                       | {error}                 | ASSIGNMENT                    | {error}   | {error}                       | {error}                                            | DECLARATION               | METHOD_LIST                                    | {error}                            | {error}            | {error} | {error} | 
| METHOD_LIST        | {error}                       | {error}                       | {error} | {error}   | {sync}    | {error} | {error} | {error}                       | {error} | {error}                   | METHOD_DECL METHOD_LIST'                       | {error}                       | {error}                 | {error}                       | {error}   | {error}                       | {error}                                            | {error}                   | METHOD_DECL METHOD_LIST'                       | {error}                            | {error}            | {error} | {error} | 
| METHOD_LIST'       | {error}                       | {error}                       | {error} | {error}   | {epsilon} | {error} | {error} | {error}                       | {error} | {error}                   | METHOD_DECL METHOD_LIST'                       | {error}                       | {error}                 | {error}                       | {error}   | {error}                       | {error}                                            | {error}                   | METHOD_DECL METHOD_LIST'                       | {error}                            | {error}            | {error} | {error} | 
| METHOD_DECL        | {error}                       | {error}                       | {error} | {error}   | {sync}    | {error} | {error} | {error}                       | {error} | {error}                   | MODIFIER PRIMITIVE_TYPE id ( ) { METHOD_BODY } | {error}                       | {error}                 | {error}                       | {error}   | {error}                       | {error}                                            | {error}                   | MODIFIER PRIMITIVE_TYPE id ( ) { METHOD_BODY } | {error}                            | {error}            | {error} | {error} | 
| METHOD_BODY        | {error}                       | {error}                       | {error} | {error}   | {sync}    | {error} | {error} | {error}                       | {error} | STATEMENT_LIST            | {error}                                        | {error}                       | {error}                 | STATEMENT_LIST                | {error}   | {error}                       | STATEMENT_LIST                                     | STATEMENT_LIST            | {error}                                        | STATEMENT_LIST                     | {error}            | {error} | {error} | 
| STATEMENT_LIST     | {error}                       | {error}                       | {error} | {error}   | {sync}    | {error} | {error} | {error}                       | {error} | STATEMENT STATEMENT_LIST' | {error}                                        | {error}                       | {error}                 | STATEMENT STATEMENT_LIST'     | {error}   | {error}                       | STATEMENT STATEMENT_LIST'                          | STATEMENT STATEMENT_LIST' | {error}                                        | STATEMENT STATEMENT_LIST'          | {error}            | {error} | {error} | 
| STATEMENT_LIST'    | {error}                       | {error}                       | {error} | {error}   | {epsilon} | {error} | {error} | {error}                       | {error} | STATEMENT STATEMENT_LIST' | {error}                                        | {error}                       | {error}                 | STATEMENT STATEMENT_LIST'     | {error}   | {error}                       | STATEMENT STATEMENT_LIST'                          | STATEMENT STATEMENT_LIST' | {error}                                        | STATEMENT STATEMENT_LIST'          | {error}            | {error} | {error} | 
| STATEMENT          | {error}                       | {error}                       | {error} | {error}   | {sync}    | {error} | {error} | {error}                       | {error} | DECLARATION               | {error}                                        | {error}                       | {error}                 | ASSIGNMENT                    | {error}   | {error}                       | IF                                                 | DECLARATION               | {error}                                        | WHILE                              | {error}            | {error} | {error} | 
| DECLARATION        | {error}                       | {error}                       | {error} | {error}   | {sync}    | {error} | {error} | {error}                       | {error} | PRIMITIVE_TYPE id ;       | {error}                                        | {error}                       | {error}                 | {sync}                        | {error}   | {error}                       | {sync}                                             | PRIMITIVE_TYPE id ;       | {error}                                        | {sync}                             | {error}            | {error} | {error} | 
